Kepler ID,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination
1724719,19 28 49.131,+37 13 16.38,133.36561,5.79175242,128.2,3.182,0.068,0.7,86,0.064,0,,0.011,10.1,1.316,1125,6185,4.383,-0.12,1.087,,,q1_q16_stellar,1.11111E+15,227,2,0.942
1725016,19 29 03.098,+37 14 13.17,355.4892,7.40758,461,3.6294,,0.35,88.81,0.076,0,,0.02,14.9,2.13,901,5665,4.47,,0.99,1.06,,KIC,,,1,
1725193,19 29 10.635,+37 15 42.23,134.1194675,2.963841978,37657.5,5.19426,3.753,0.914,75.76,0.042,0,,0.25,3.716,31.579,1407,6095,4.371,0.14,1.158,,,q1_q16_stellar,1.10011E+14,241,1,0
1725415,19 29 21.768,+37 16 47.50,132.06982,2.43731228,57,1.8933,,0.316,88.24,0.036,0,,0.007,9.416,0.69,1360,6029,4.51,,0.94,1.044,0.3,Pinsonneault,,,1,
1849702,19 05 08.628,+37 23 13.41,155.6399,39.83101,520,3.9937,,0.999,87.66,0.213,0,,0.042,22.5,3.3,418,5178,4.64,,0.713,0.814,0.7,Pinsonneault,,,1,
1865042,19 22 43.740,+37 21 18.40,132.9944,3.481538,143,1.7906,,0.79,85.37,0.045,0,,0.012,9.5,1.36,1146,5481,4.42,,1.012,0.976,7.5,SPC,,,1,
1865864,19 23 29.531,+37 21 43.84,135.4569,69.086432,651.2,4.52,0.21,0.7,89.54,0.289,0,,0.025,87,1.9,332.1,4848,4.581,-0.28,0.698,,,q1_q16_stellar,1.11111E+14,20,1,0.462
1870398,19 27 39.734,+37 19 21.28,132.0211,43.1472596,192.1,20,0.35,0.52,87.9,0.242,0,,0.013,14.3,1.481,566,6204,4.416,-0.22,1.035,,,q1_q16_stellar,1.11111E+15,34,1,0.153
1871056,19 28 10.708,+37 22 34.46,155.7178,40.80686,316,14.048,,0.805,86.52,0.258,0,,0.018,13.9,4.8,843,6235,3.8,,2.43,1.37,3.17,Pinsonneault,,,2,
1871056,19 28 10.708,+37 22 34.46,216.245,140.0914,182,18.3036,,0.859,88.24,0.586,0,,0.014,32,3.74,560,6235,3.8,,2.43,1.37,3.17,Pinsonneault,,,2,
1872821,19 29 42.620,+37 19 14.91,134.6499,10.27402,381,4.0484,,0.847,85.37,0.091,0,,0.021,11.1,1.9,767,5705,4.56,,0.85,0.95,0.4,Pinsonneault,,,1,
1873513,19 30 19.168,+37 22 35.08,131.866189,3.290415008,15471,1.8714,0.3674,0.702,86.58,0.024,0,,0.122,11.758,2.522,399.5,3212,5.104,0,0.189,,,q1_q16_stellar,111,77,1,0.667
1995519,19 04 36.035,+37 24 40.93,142.3491,19.9399,823,3.9117,,0.56,88.81,0.141,0,,0.027,34,2.45,606,5658,4.57,,0.83,0.938,0.4,Pinsonneault,,,1,
1995732,19 04 51.841,+37 25 30.86,139.095762,77.36244225,109414,12.1842,11.58,0.908,89.05,0.336,0,,0.45,54.818,38.77,362.2,5357,4.571,-0.12,0.79,,,q1_q16_stellar,1.11111E+14,18,1,0.064
1996180,19 05 22.632,+37 24 43.08,133.4557,5.42213,90,2.7756,,0.86,83.65,0.062,0,,0.01,8,1.11,1106,6176,4.46,,1.02,1.09,0.9,Pinsonneault,,,2,
1996180,19 05 22.632,+37 24 43.08,134.3708,3.025534,111,3.0542,,0.72,82.51,0.042,0,,0.01,5.4,1.15,1344,6176,4.46,,1.02,1.09,0.9,Pinsonneault,,,2,
1996399,19 05 37.998,+37 25 36.34,184.991,94.1063,214,17.2113,,0.813,88.24,0.328,0,,0.015,25,0.83,217,3952,4.75,,0.51,0.53,13.9,Pinsonneault,,,1,
1996679,19 05 57.774,+37 29 23.92,146.0555,145.56306,3594,5.459,,1.27,89.38,0.555,0,,0.34,81,44,398,6170,4.32,,1.19,1.08,4.1,Pinsonneault,,,1,
2010191,19 21 32.930,+37 28 41.45,132.64238,3.43524369,194,2.609,0.033,0,90,0.043,0,,0.013,10.2,1.38,1282,6072,4.408,-0.42,0.991,,,q1_q16_stellar,1.11111E+15,379,1,1
2010607,19 22 01.355,+37 27 32.44,141.57277,18.63330433,931,25.7,12.87,1,56.77,0.153,0,,0.053,1.825,14.01,1116,6361,3.809,-0.2,2.42,,,q1_q16_stellar,1.11111E+15,76,1,1
2014991,19 26 11.843,+37 24 12.89,132.1692,6.496807,126,2.7451,,0.79,85.94,0.074,0,,0.011,11.9,2.5,1472,6421,3.95,,2,1.3,3.55,Pinsonneault,,,1,
2015013,19 26 13.315,+37 26 42.58,146.01619,27.8924693,127,2.285,0.032,0.5,89.65,0.183,0,,0.011,82,2.06,808,5873,3.96,-0.18,1.78,,,q1_q16_stellar,1.11111E+15,46,1,0.232
2019076,19 29 50.999,+37 26 33.43,131.8615431,3.564617759,92565,3.70492,4.85,0.951,83.12,0.043,0,,0.439,7.936,42.68,1188,5891,4.45,-0.56,0.892,,,q1_q16_stellar,1.10111E+14,335,1,0.487
2019199,19 29 56.689,+37 24 15.62,343.5565,579.81418,384,15.91,0.31,0.3,89.93,1.344,0,,0.018,270,1.9,218.1,5822,4.449,-0.08,0.969,,,q1_q16_stellar,1.11111E+15,3,1,0.394
2021440,19 31 52.427,+37 29 19.28,136.3334,7.811385,844,3.8466,,0.45,88.24,0.072,0,,0.027,14.3,2.1,716,5166,4.64,,0.71,0.811,0.7,Pinsonneault,,,1,
2141783,19 05 28.799,+37 33 09.08,144.1254,116.5269,594,4.2569,,0.2,89.95,0.474,0,,0.022,210,2.9,425,6083,4.3,,1.19,1.04,5.3,Pinsonneault,,,1,
2142522,19 06 30.183,+37 32 14.28,134.0318,13.323565,112,4.0806,,0.43,88.81,0.114,0,,0.01,23,1.14,856,6292,4.42,,1.08,1.13,1.11,Pinsonneault,,,1,
2157247,19 23 06.870,+37 33 50.68,133.0015,5.686619,4074,16.3233,,0.61,74.48,0.063,0,,0.061,2.29,6.8,1080,6089,4.44,,1.02,1.05,2.2,Pinsonneault,,,1,
2158460,19 24 15.403,+37 32 08.70,134.85764,19.1278837,551.8,2.003,0.06,0.5,89.6,0.139,0,,0.022,65,2.16,680,6077,4.526,-0.34,0.891,,,q1_q16_stellar,1.11111E+12,56,1,0.819
2161536,19 26 54.287,+37 31 44.04,138.2862,16.85481,962,2.4452,,0.42,89.38,0.106,0,,0.028,49,1.66,411,4142,4.73,,0.536,0.562,13.9,Pinsonneault,,,1,
2162635,19 27 54.609,+37 31 57.18,176.0876,650,4267,25.2731,,0.968,89.38,1.571,0,,0.092,100,25.4,280,5007,3.72,,2.52,1.225,5.7,SPC,,,1,
2163226,19 28 24.588,+37 34 00.88,460.4891,452.11482,535.2,13.14,0.49,0.65,89.82,1.135,0,,0.022,209,2.34,254.2,6276,4.456,-0.52,0.956,,,q1_q16_stellar,1.11111E+15,3,1,0.909
2164169,19 29 09.836,+37 34 50.88,133.8755,32.31153,670,5.8943,,0.928,87.09,0.2,0,,0.029,18.7,3,576,5973,4.48,,0.96,1.015,2,Pinsonneault,,,1,
2165002,19 29 52.742,+37 34 04.05,146.1531,16.56806,1208,4.1494,,0.34,89.38,0.118,0,,0.032,30,2.66,592,5245,4.57,,0.77,0.801,7.9,Pinsonneault,,,2,
2165002,19 29 52.742,+37 34 04.05,151.4112,47.33465,1279,4.9055,,0.64,89.38,0.238,0,,0.034,60,2.89,417,5245,4.57,,0.77,0.801,7.9,Pinsonneault,,,2,
2165352,19 30 10.356,+37 33 20.73,132.067536,0.790620395,167,1.292,0.091,0.9,65.7,0.014,0,,0.014,2.19,1.045,1508,5038,4.601,-0.6,0.667,,,q1_q16_stellar,1.11111E+15,1654,1,1
2166200,19 30 56.089,+37 33 33.52,132.649688,8.096915814,128336,3.5502,3.3,0.898,87.5,0.084,0,,0.482,20.55,74.6,1195,6572,4.208,-0.28,1.418,,,q1_q16_stellar,1111111,73,1,0
